algorithm,config,p_target,alpha,p_estimate,exact_error,ci_width,num_oracle_calls
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009715357429361575,0.0002846425706384253,0.0006953742755639427,2400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010205720298441271,0.0002057202984412712,0.0004894946093193728,3600
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009412167254219138,0.0005878327457808624,0.0010667743563469731,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010934022376389334,0.0009340223763893343,0.001248630120353613,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00980280473903653,0.0001971952609634703,0.0010890761785413011,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010233541874654868,0.00023354187465486793,0.0012081665671032664,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010316031927730675,0.00031603192773067487,0.001331589840065971,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010493349539244646,0.000493349539244646,0.0012232457220748647,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010316031927730675,0.00031603192773067487,0.001331589840065971,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009634932539454064,0.0003650674605459366,0.0011730621881627448,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009936019750916477,6.398024908352284e-05,0.0004820543832074406,3600
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010319840259143412,0.00031984025914341165,0.0012131852404389893,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010420622530397994,0.0004206225303979936,0.0013379198211847486,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009998566352872903,1.4336471270970375e-06,0.0013122874592250942,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010147504015924048,0.00014750401592404823,0.0012031528840705241,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00997608024363885,2.3919756361149777e-05,0.0011931323981500342,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01040643182056998,0.0004064318205699805,0.0012182109402292607,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00997608024363885,2.3919756361149777e-05,0.0011931323981500342,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010071915087976991,7.19150879769908e-05,0.0005019863042905384,3400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010934022376389334,0.0009340223763893343,0.001248630120353613,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01040643182056998,0.0004064318205699805,0.0012182109402292607,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010087144628458262,8.714462845826193e-05,0.0004861808500795494,3600
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009970856478164581,2.9143521835419198e-05,0.001023348984729851,1500
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009123433072895417,0.0008765669271045828,0.0011426313738958863,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009566597567141776,0.00043340243285822436,0.0010756094368844383,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00964468668994287,0.0003553133100571305,0.0010800673802439506,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010668297698381835,0.000668297698381835,0.0012333508960913368,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010493349539244646,0.000493349539244646,0.0012232457220748647,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010919400906171436,0.0009194009061714355,0.0011523092266162794,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010147504015924048,0.00014750401592404823,0.0012031528840705241,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009723409031031523,0.0002765909689684768,0.0010845554476233777,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00988291597688613,0.00011708402311387013,0.0010936322478954123,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009124552247170606,0.000875447752829394,0.0017188950777009136,900
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009634932539454064,0.0003650674605459366,0.0011730621881627448,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010210873255972678,0.0002108732559726774,0.0013252107360437818,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00956274512894191,0.00043725487105809,0.0005367061884160584,3100
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010147504015924048,0.00014750401592404823,0.0012031528840705241,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.0101450500157092,0.0001450500157092003,0.000475935019269025,3700
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009549808023844229,0.0004501919761557716,0.0011680265391977125,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010061694248698986,6.169424869898604e-05,0.0011981421673932478,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00929427842845942,0.0007057215715405799,0.001152841922134924,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.01058062683807411,0.0005806268380741091,0.0012282916684090402,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010493349539244646,0.000493349539244646,0.0012232457220748647,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010844959541175477,0.000844959541175477,0.001243517882717854,1300
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.009771374897694777,0.00022862510230522298,0.0006363175989389843,2700
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010205720298441271,0.0002057202984412712,0.0004894946093193728,3600
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00988291597688613,0.00011708402311387013,0.0010936322478954123,1400
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.00967390563711359,0.0003260943628864109,0.0012924140791650482,1200
IAE,"{'epsilon_target': 0.01, 'alpha': 0.05,  'shots': 100}",0.01,0.05,0.010668297698381835,0.000668297698381835,0.0012333508960913368,1300
